invoice_no,invoice_ref,amount,payment_method,balanced
E7261,,17556492.15,Due,False
E7262,,17556514.61,Due,False
E7264,,17556925.67,Due,False
E7265,,17556928.33,Advance,False
E7266,,17556931.28,Advance,False
E7267,,17556931.97,Due,False
E7268,,17556937.21,Due,False
E7269,,17556949.34,Due,False
E7275,,17559385.46,Due,False
E7276,,17559386.73,Due,False
E7277,,17559387.82,Advance,False
E7280,,17559393.74,Advance,False
E7282,,17559397.38,Advance,False
E7283,,17559411.29,Advance,False
E7287,,17567952.52,Due,False
E7291,,17567962.35,Due,False
E7293,,17567965.01,Due,False
E7296,,17569661.25,Due,False
E7298,,17569669.07,Due,False
E7299,,17569675.58,Due,False
